trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-152.2280781753069,"{0: 11, 1: 3, 2: 1, 3: 3, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9998000066665778}",20,0,-75.1793577863987,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9992001066609779}",25,0,-105.16604867818369,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.9982005399352042}",20,0,-37.72358356017998,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.9968017063026194}",20,0,-114.62313386550406,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9950041652780258}",30,0,-73.02219382445396,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.9928086358538663}",20,11,-13.843928999906602,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.2, 'e': 0.9902159962126371}",20,0,-119.77138025784559,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.9872272833756269}",30,3,-151.13997001024745,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 3}",1
10,False,"{'a': 0.2, 'e': 0.9838436927881214}",25,0,-89.48977262912432,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.9800665778412416}",25,0,-121.57670747837415,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.9758974493306055}",30,0,-118.22447810050645,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.9713379748520296}",20,0,-58.490236627022995,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.9663899781345132}",20,0,-63.83184106784684,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.9610554383107709}",25,0,-117.60840062096852,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.955336489125606}",20,0,-102.02977746862837,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.9492354180824408}",20,0,-95.42181389554895,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.9427546655283462}",20,0,-100.50832165354996,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
