trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.17513465430919,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.457437837685205,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.019592723181,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.09379570225984,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.52713036564302,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.57291686263807,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.86448358728518,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.84604818607832,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.77925771080393,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.02405435529522,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.62998275371407,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.59227477649954,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.83948571232989,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.6980587012878,"{0: 9, 1: 3, 2: 9, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.2184813121818,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.76848308256653,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.14891350818462,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.75544790942502,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.84763704080972,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.0060278036931,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,7,-86.56041342383311,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,12,-10.478985673251113,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.48844068038873,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.65260554949413,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.16316947737936,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-266.96346107806426,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-179.05842136035605,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.73822955516658,"{0: 16, 1: 4, 2: 7, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.82904535249757,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.28148752499675,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
